Name,Age,Occupation,Hometown,Height,ElimWeek,Season
Amanda Marsh,23,Event Planner,"Chanute, Kansas",,,1
Trista Rehn,29,Miami Heat Dancer,"Miami, Florida",,6,1
Shannon Oliver,24,Financial Management Consultant,"Dallas, Texas",,5,1
Kim,24,Nanny,"Tempe, Arizona",,4,1
Cathy Grimes,22,Graduate Student,"Terra Haute, Indiana",,3,1
Christina,28,Attorney,"Bonita, California",,3,1
LaNease Adams,23,Actress,"Los Angeles, California",,3,1
Rhonda,28,Commercial Real Estate Agent,"Woodward, Oklahoma",,3,1
Alexa,27,Special Ed. Teacher,"Beverly Hills, California",,2,1
Amy,28,Production Coordinator,"New York, New York",,2,1
Angela,25,Hooters Waitress,"Avondale, Arizona",,2,1
Angelique,27,Actress,"Burbank, California",,2,1
Katie,23,Power Tool Sales Rep.,"Malden, Massachusetts",,2,1
Melissa,25,Photographer,"Tempe, Arizona",,2,1
Tina,27,Graduate Student,"Plano, Texas",,2,1
Amber,29,Business Development Director,"Los Angeles, California",,1,1
Daniela,30,Neuropsychologist,"Seattle, Washington",,1,1
Denise,30,Doctor,"Honolulu, Hawaii",,1,1
Jackie,22,Bar Manager,"Pittsburgh, Pennsylvania",,1,1
Jill,31,Retail Manager,"Chicago, Illinois",,1,1
Kristina,27,Advertising Executive,"Los Angeles, California",,1,1
Lisa,29,Attorney,"Dallas, Texas",,1,1
Paula,24,Insurance Representative,"Swansea, Massachusetts",,1,1
Rachel,29,6th Grade Teacher,"Eastchester, New York",,1,1
Wendi,26,Technology Specialist,"Dallas, Texas",,1,1
Helene Eksterowicz,27,School Psychologist,"Gloucester, New Jersey",,,2
Brooke Smith,22,College Student,"Albertville, Alabama",,7,2
Gwen Gioia,31,Executive Recruiter,"Philadelphia, Pennsylvania",,6,2
Angela,27,Registered Nurse,"Kansas City, Missouri",,5,2
Hayley,28,Retail Manager,"Lake Oswego, Oregon",,4,2
Heather Crawford,30,Flight Attendant,"Dallas, Texas",,4,2
Christi,23,Assistant Financial Advisor,"Boise, Idaho",,3,2
Heather,24,Marriage Therapy Trainee,"Walnut Creek, California",,3,2
Kyla,22,Airline Supervisor,"Midvale, Utah",,3,2
Shannon,26,Graphic Artist,"Long Island, New York",,3,2
Dana,24,Radio Sales,"Beverly Hills, California",,2,2
Erin,25,Publications Quality Control,"Westchester, Pennsylvania",,2,2
Suzanne,33,Flight Attendant,"Redondo Beach, California",,2,2
Frances,30,Strategic Planning Analyst,"San Francisco, California",,2,2
Anindita,27,Attorney,"New York, New York",,2,2
Amber,26,Psychologist,"Chapel Hill, North Carolina",,1,2
Camille,29,Actress,"Los Angeles, California",,1,2
Cari,29,3rd Grade Teacher,"Granite City, Illinois",,1,2
Christy,24,Radiological Technologist,"Avondale, Arizona",,1,2
Erin,24,Interior Designer,"Houston, Texas",,1,2
Fatima,22,College Student,"Long Beach, California",,1,2
Liangy,30,Paralegal,"Coral Gables, Florida",,1,2
Lori,26,Former NBA Cheerleader,"Dallas, Texas",,1,2
Merrilee,28,1st Grade Teacher,"Forked River, New Jersey",,1,2
Suzi,28,Communications Specialist,"Richmond, Virginia",,1,2
Jessica Bowlin,22,Student,"Huntington Beach, California",,,5
Tara Huckeby,23,General contractor,"Shawnee, Oklahoma",,7,5
Mandy Jaye Jeffreys,26,Designer for an architect firm,"Midland, Texas",,6,5
Trish Schneider,28,Model,"Atlanta, Georgia",,5,5
Suzie Williams,23,Prosthetic technician,"Ann Arbor, Michigan",,4,5
Karen Lindsay,28,Pharmaceutical sales,"Pleasant Grove, Utah",,4,5
Jessica Holcomb,25,Attorney,"Pearsall, Texas",,3,5
Julie Durda,24,Professional Cheerleader,"Sacramento, California",,3,5
Jenny De Schiralli,26,Swim instructor/nanny/personal trainer,"Carrboro, North Carolina",,3,5
Katie Gehart,22,LASIK Eye and Skin Center manager,"Scottsdale, Arizona",,3,5
Jean-Marie Callahan,26,Hair stylist,"Gibson, North Carolina",,2,5
Debbie Merkett,27,Massage therapist/bartender,"Pinetops, North Carolina",,2,5
Anne-Catherine Labbé,27,Model/make-up artist,"Quebec City, Quebec",,2,5
Amber LaRoux,27,Consultant,"Sunriver, Oregon",,2,5
Mandy Clemens,25,Professional soccer player,"San Diego, California",,2,5
Kristy Romero,25,Student,"Dearborn, Michigan",,2,5
Celeste Creel,24,Model/executive assistant,"Ithaca, New York",,2,5
Jenny Matthews,24,Retail manager,"Canton, Michigan",,2,5
Dolores Farburg,26,Account manager,"Madison, New Jersey",,1,5
Francine Jones,25,Retail manager,"Houston, Texas",,1,5
DeShaun Warner,25,Account manager/sales,"Phillipsburg, New Jersey",,1,5
Jessica Kyron,21,Student,"Cincinnati, Ohio",,1,5
Holly Reeder,26,Bank representative,"Tulsa, Oklahoma",,1,5
Rachel Clementi,26,Fashion public relations manager,"Buffalo, New York",,1,5
Kristin Clearwater,25,Singer,"Sausalito, California",,1,5
Jennifer Wilson,24,Teacher,"Pembroke Pines, Florida",,,9
Sadie Murray,23,Publicist,"Carlsbad, California",,7,9
Lisa Blank,25,Marketing manager,"Portland, Oregon",,6,9
Agnese Polliza,24,Student,"Venice, Italy",,5,9
Jeanette Pawula,23,Teacher,"Bloomingdale, Illinois",,4,9
Desiree Valentin,22,Realtor,"Salt Lake City, Utah",,4,9
Jami Matzke,27,Event planner,"Galveston, Texas",,3,9
Gina Clark,28,Ultrasound technician,"Chicago, Illinois",,3,9
Erica Rose,23,Socialite,"Houston, Texas",,3,9
Sarah Schnare,30,Journalist,"Nelson, British Columbia",,2,9
Kim Jackson,27,Interior designer,"Newport Beach, California",,2,9
Ellen DeMaio,30,Realtor,"New Haven, Connecticut",,2,9
Tara Durr,24,Realtor,"St. Augustine, Florida",,1,9
Rosella Fratto,27,Make-up artist,"Chicago, Illinois",,1,9
Rita Ghazal,29,Policy advisor,"Richmond, VA",,1,9
Renee Snell,30,Broadcast marketer,"Baltimore, MD",,1,9
Meri Barr,27,Attorney,"Biloxi, MS",,1,9
Laura Morgan,29,Dolphin trainer,"San Diego, CA",,1,9
Jessica Horner,25,Assistant buyer,"Charlotte, NC",,1,9
Heather Sneed,34,Registered nurse,"Aliquippa, PA",,1,9
Elyse Hammer,27,Physician,"New York, NY",,1,9
Cosetta Blanca,,Dancer,Italy,,1,9
Claudia Gismondi,22,Restaurateur,"Boca Raton, FL",,1,9
Carissa Ilburg,25,Attorney,"Cattaraugus, NY",,1,9
Britt (Bowe) Newton,28,Beer chemist,"Columbus, OH",,1,9
Andrea Shirley,28,Hotel concierge,"Cincinnati, OH",,1,9
April Jacobs,23,Model,"Chicago, IL",,1,9
Tessa Horst,26,Social Worker,"San Francisco, California",,,10
Bevin Nicole Powers,28,Assistant,"Palo Alto, California",,8,10
Danielle Imwalle,25,Graphic Designer,"Bethel, Connecticut",,7,10
Amber Alchalabi,23,Teacher,"Sugar Land, Texas",,6,10
Stephanie Wilhite,23,Project Manager,"Overland Park, Kansas",,5,10
Tina Wu,26,Medical student,"Los Angeles, California",,5,10
Kate Brockhouse,24,Boutique owner,"Ravenel, South Carolina",,4,10
Nicole Clary,26,Sales Manager,"Charleston, SC",,4,10
Stephanie Tipper,27,Organ donor coordinator,"Folly Beach, SC",,4,10
Amanda Hackney,26,Financial analyst,"Dallas, TX",,3,10
