Total_Spend,Number_of_Orders,Average_Order_Value
1903.97,51,403.62
4756.04,70,281.47
3673.37,6,984.14
3013.36,67,415.24
822.29,7,895.16
822.17,51,237.66
337.51,72,220.97
4337.57,42,40.82
3025.52,64,655.15
3554.96,15,374.84
151.89,29,865.71
4851.05,33,478.48
4170.59,94,968.51
1101.08,27,193.67
950.03,36,869.94
957.85,29,778.83
1556,38,773.21
2647.54,57,846.34
2188.13,97,763.41
1491.58,27,629.96
3078.67,55,139.93
740.49,33,42.2
1496.12,68,921.64
1863.49,86,620.48
2307.55,66,798.57
3936.62,10,486.71
1038.39,5,126.14
2595.46,74,133.93
2982.45,97,688.71
279.93,38,436
3057.35,13,208.52
894.09,31,496.68
372.01,47,73.57
4746.98,88,586.15
4829.88,52,276.3
4051.57,56,799.58
1557.84,15,317.26
533.48,29,460.67
3436.95,8,21.5
2228.75,5,81.72
654.09,29,398.57
2501.13,47,485.14
220.22,68,604.02
4551.14,76,298.75
1330.96,45,698.03
3329.49,2,861.52
1592.97,27,782.05
2624.34,95,49.22
2756.22,36,485.7
965.03,36,113.88
4849.44,26,249.62
3886.91,43,986.8
4700.52,27,151.07
4479.4,69,503.9
3009.6,20,621.97
4613.28,11,705.44
488.04,74,564.05
1020.12,38,19.67
273.88,6,333.2
1660.39,72,522.53
1973.95,23,96.99
1393.18,47,357.12
4152.25,90,42.87
1815.93,46,87.79
1440.63,12,402.95
2736.35,90,141.39
747.57,13,571.87
4020.88,62,692.57
419.03,82,802.58
4935.09,89,208.15
3872.61,97,175.81
1033.64,60,113.52
77.33,43,640.07
4086.53,76,709.41
3548.94,68,41.27
3658.59,5,936.85
3867.79,37,61.45
416.52,72,545.88
1824.41,92,711.97
623.55,31,872.26
4322.36,9,716.95
3135.33,51,803.71
1687.95,29,346.06
364.61,78,816.68
1589.36,40,89.31
1659.66,41,895.87
3661.55,86,552.12
3205.91,11,819.12
4441.7,23,457.8
2387.46,1,647.14
641.99,46,531.14
3580.56,21,734.27
3815.89,90,90.81
2828.32,36,69.75
3866.29,54,254.63
2494.29,87,167.95
2637.53,57,873.07
2166.33,1,227.02
175.82,63,976.11
584.06,54,343.53
205.57,55,190.3
3200.23,40,791.8
1606.06,15,662.12
2567.42,21,503.21
4542.45,47,559.81
1284,73,722.01
2081.4,53,236.17
3789.98,9,996.37
1182.55,74,975.05
431.05,52,653.82
1484.27,57,207.55
848.05,26,683.43
4652,41,81.48
4050.2,35,40.35
3185.35,63,265.11
4363.73,25,468
4028.18,90,869.59
973.52,75,729.9
4468.17,38,745.28
2719.74,2,431.24
4046.83,7,352.48
4485.65,82,377.33
1624.12,91,987.77
594.76,34,49.71
1178.28,91,868.36
2164.18,17,582.89
4099.17,43,444.23
4310.62,59,728.01
84.41,51,491.8
2578.2,54,874.69
2116.18,24,901.69
1149.43,25,427.5
643.33,71,284.06
1721.2,52,596.43
4717.4,70,913.24
1649.85,88,218.56
2618.01,33,626.74
3529.94,49,635.24
1849.97,29,735.78
4860.32,63,140.25
4814.11,22,718.67
1296.32,26,909.94
2511.38,28,187.89
1539.35,85,245.17
1459.96,49,971.68
232.59,71,189.17
3067.34,81,855.84
2538.26,84,497.36
304.82,49,254.76
1429.3,20,872.04
4545.92,86,450.85
1235.83,92,519.67
767.23,63,365.64
2472.79,61,597.02
4928.97,49,171.89
1248.17,71,397.17
3377.07,1,969.72
3820.02,96,265.55
1226.31,13,660.17
3654.67,94,331.94
1870.53,87,775.74
3179.91,51,139.56
3185.97,56,970.12
2702.08,83,459.25
496.93,62,243.69
4184.75,32,82.76
1637.86,30,178.06
973.27,29,524.58
251.84,49,343.63
2974.92,45,830.59
3403.94,93,436.58
132.11,30,256.23
2584.86,16,620.97
1171.15,40,709.71
3243.61,19,175.37
913.11,18,175.94
3470.14,1,46.3
1964.34,78,739.04
4686.81,47,667.17
730.73,66,479.88
1738.28,92,845.73
611.69,94,807.61
4627.23,38,589.5
4392.83,51,869.59
1326.81,63,213.78
3316.92,4,120.8
4095.25,1,277.05
2798.24,8,66.52
2671.77,29,535.86
1247.17,55,937.24
510.86,3,48.95
4491.22,32,130.89
4507.07,10,457.68
3183.85,74,934.54
1728.2,83,322.99
1778.59,34,512.16
3643.48,97,51.16
4490.7,87,156.86
4441.08,55,986.76
3910.38,92,965.47
3228.06,32,14.89
466.49,50,952.29
850.06,7,642.73
4497.84,93,869.24
3051.82,8,460.19
95.53,65,520.44
552.28,57,493.96
3334.33,67,670.2
75.05,88,148.25
846,87,39.67
2766.23,59,314.85
3474.88,72,707.63
3277.21,54,209.83
1160.13,67,676.7
3575.29,51,970.21
1224.38,97,102.96
1660.73,92,675.88
3745.13,8,449.31
3265.68,34,869.46
4253.66,35,185.38
3305.18,96,695.7
2863.13,88,839.73
513.69,78,945.17
1870.19,32,686.42
1362.75,46,502.2
1257.75,16,621.67
4866.4,68,870.22
1995.83,37,574.9
4465.63,54,40.08
3174.14,85,931.64
3984.32,14,692.63
2538.05,95,679.75
2905.67,55,223.52
2487.96,48,662.3
1016.45,82,399.93
3626.14,7,654.72
1439.82,74,115.53
170.36,7,661.27
3245.09,33,999.42
926.7,23,57.73
4705.27,85,977.4
4771.95,19,412.84
4578.58,19,872.05
1882.29,36,784.56
126.51,29,571.35
4645.18,60,741.06
2169.51,82,879.73
4834.94,2,410.1
4819.92,1,333.76
4272.4,47,670.92
1507.52,69,809.77
1956.23,20,764.66
4263.13,11,799.84
1618.76,2,441.23
888.99,67,819.66
2806.17,87,129.01
4683.97,12,549.04
3495.35,20,15.7
2871.8,5,331.34
531.02,37,372.8
3094.29,38,402.21
4950.77,94,698.51
743.42,9,394.67
2615.73,98,454.21
4393,53,245.17
3716.8,44,379.52
3500.23,99,235
3527.3,86,82.46
1829.48,24,607.41
1503.28,81,671.53
4056.34,74,623.3
4060.06,30,468.86
4342.01,59,385.99
4570.54,87,864.7
2581.14,96,523.89
2532.51,81,484.39
4001.56,81,35.39
3267.32,14,347.84
3524.74,9,386.39
3989.17,40,404.83
4455.53,66,584.37
1723.08,25,538.27
1909.14,73,611.83
515.21,22,767.23
2912.49,4,814.86
227.91,26,720.94
2354.71,58,955.97
2736.09,29,28.05
1468.38,98,203.82
2974.62,87,17.49
200.98,37,651
234.87,75,899.05
4121.87,70,251.05
1832.94,18,927.76
678.95,85,69.66
2635.1,42,935.09
3861.47,41,358.11
1118.31,38,110.41
3133.31,34,491.01
472.47,17,264.21
305.82,37,292.02
2680.21,25,314.22
2726.14,76,805
3205.28,87,543.77
3644.15,86,318.19
