,Temperature,Humidity,Device_Usage,Signal_Strength,Anomaly
0,24.36350297118406,67.08920959462286,96,3,0
1,38.767857660247905,75.76769780339606,0,5,1
2,33.29984854528513,37.53275291547493,50,3,0
3,29.966462104925917,63.74118697248992,4,3,0
4,18.900466011060914,60.022218820062406,12,2,0
5,18.899863008405067,78.29812637517898,18,5,0
6,16.452090304204987,83.42609423368825,11,1,0
7,36.654403644373375,20.850974003417075,47,1,0
8,30.02787529358022,67.18139433411548,24,3,0
9,32.70181444490114,23.628505938381032,56,3,0
10,15.51461235739506,58.42010655541492,34,4,0
11,39.247746304049855,40.13429103305747,75,5,0
12,35.81106602001054,41.474361966549885,93,3,0
13,20.308477766956905,44.70709524166496,4,4,0
14,19.545624180177516,63.490471433472706,97,5,0
15,19.585112746335845,43.38349759681385,21,1,0
16,22.60605607398844,71.28893354131964,76,4,0
17,28.11891079080595,48.31691699017088,56,5,0
18,25.798625466052894,24.7847240216971,46,4,0
19,22.28072850495105,74.8631889738875,53,3,0
20,30.296322368059485,40.00308272148942,2,2,0
21,18.487346516301045,50.29368157194838,52,1,1
22,22.303616213380455,67.9810718255331,83,3,0
23,24.159046082342293,43.271931000409836,30,3,0
24,26.4017496054259,23.960995930270094,68,5,1
25,34.62939903482534,46.174473290896955,87,4,0
26,19.991844553958995,86.11140078860124,32,1,0
27,27.85586096034029,64.92140781089907,71,3,0
28,29.810364221551062,67.00354040670449,87,5,0
29,16.161260317999943,64.25975075463478,49,1,0
30,30.18862129753596,33.92944972716057,83,4,0
31,19.263103092182288,49.28337048715961,15,3,0
32,16.62628982463199,72.56578588543228,75,3,0
33,38.722138431333335,27.09610282872114,76,3,0
34,39.14080082686398,39.449694326279854,38,1,1
35,35.20993370291153,39.34233759260975,88,1,0
36,22.61534422933427,50.241324931615424,45,1,0
37,17.441802850159597,88.62581186595295,95,1,0
38,32.10582566280392,24.725178267867534,87,5,0
39,26.003812343490033,56.30906960664165,46,2,0
40,18.05095587111947,32.55552774085473,43,5,0
41,27.379422752781757,87.9473581786821,8,3,0
42,15.85971302788046,27.931245330922494,86,5,0
43,37.73301005196955,48.25207016531139,49,4,0
44,21.469499540000424,71.65194893842244,76,1,0
45,31.56305710884955,69.31880996192118,59,4,1
46,22.792776902235275,49.59100458257526,95,4,1
47,28.00170052944527,44.25669175669027,14,3,0
48,28.66775698358199,47.83286649870094,35,1,0
