Average Response Time (s),Number of Features,Number of Bugs Reported,Training Hours Provided,User Satisfaction Score
1.436350297,49,16,3.970125946,89.98097814
2.876785766,36,12,3.10036378,56.7321459
2.329984855,34,0,2.66730546,121.5028557
1.99664621,39,1,4.469462915,124.5356377
0.890046601,44,8,3.942986056,129.0773967
0.889986301,20,2,0.758374399,110.4946385
0.64520903,17,0,1.558610339,112.0885939
2.665440364,46,15,1.242445699,48.95273663
2.002787529,34,5,3.719731463,102.7542283
2.270181444,23,16,0.167662174,24.91855456
0.551461236,21,4,2.849448424,110.2746243
2.92477463,23,4,3.812293429,78.04132625
2.581106602,32,5,4.383828184,92.40430606
1.030847777,30,2,1.710408744,119.4139498
0.954562418,41,4,4.106286523,129.8320318
0.958511275,30,4,0.553158685,106.2448278
1.260605607,27,9,4.232261459,83.93480987
1.811891079,13,9,0.637443312,52.64707993
1.579862547,16,18,1.986436453,15.43275589
1.22807285,5,16,3.986476829,16.91041351
2.029632237,5,13,0.749587137,25.85289164
0.848734652,38,8,1.146256976,104.3882666
1.230361621,36,13,3.611262842,87.21387878
1.415904608,29,0,3.600182683,141.1675217
1.640174961,44,18,3.205738164,53.1647884
2.462939903,49,12,3.469742222,87.33494294
0.999184455,5,12,2.713622217,38.06543156
1.785586096,20,3,1.258995295,88.99857246
1.981036422,43,0,1.728479968,142.7467777
0.616126032,9,16,0.907988584,23.86772279
2.01886213,26,7,4.542252807,84.86398124
0.926310309,33,1,2.916958974,138.5156478
0.662628982,7,7,2.004257084,69.70634017
2.872213843,16,6,2.310029018,51.97902837
2.914080083,30,1,4.736416698,114.4775814
2.52099337,20,2,0.766757016,89.72802518
1.261534423,41,17,2.93114916,68.08852408
0.744180285,26,11,2.529443394,78.54286265
2.210582566,33,0,3.057271177,121.9870214
1.600381234,18,11,0.090550919,44.74783393
0.805095587,32,4,4.360619545,140.7923067
1.737942275,9,16,4.660591412,26.10183162
0.585971303,34,15,2.825665918,71.48687782
2.773301005,9,14,3.483254119,13.17373642
1.146949954,16,14,4.612496906,48.82056628
2.156305711,20,4,3.536193172,91.18299573
1.27927769,30,13,0.762695215,65.8164158
1.800170053,30,1,2.881441801,127.0598229
1.866775698,25,10,3.033575232,64.34630793
0.962136139,43,18,2.120653357,66.95359448
2.923961569,40,6,3.682221178,88.44450507
2.437832058,37,5,4.671835074,101.6613228
2.848747354,34,1,4.627842565,121.5728216
2.737068376,41,5,2.254196857,97.45314597
1.994749947,27,17,0.566190229,23.07277749
2.804685588,14,1,4.924205995,88.6609438
0.721231255,9,17,4.194490432,33.73880762
0.989957156,40,14,0.623313406,71.7164489
0.613068222,38,18,4.604209413,54.21256076
1.313325827,35,1,4.34948181,136.4974418
1.471693224,14,19,2.594190286,17.73531288
1.178372579,23,5,2.956377179,102.4092181
2.571843773,36,0,1.995013519,128.026758
1.391883317,5,14,0.273808194,11.78409412
1.202336274,9,9,1.675986208,47.29593317
1.856740208,49,18,4.014267243,70.00444137
0.852310562,8,16,0.023160115,20.4849356
2.505492452,20,4,1.667495858,78.9478724
0.686376609,28,3,1.990843468,127.3418645
2.967217342,20,9,2.686978015,50.66109854
2.430611923,6,16,4.599278082,8.366743363
0.996789204,32,9,1.731729972,96.81838693
0.513805293,36,16,1.734766009,74.0093018
2.538653571,31,19,3.687506241,28.76994481
2.26714336,24,4,2.261089704,93.81872284
