Failed_Attempts_Last30Days,Access_Time_Deviation,Entry_Distance_From_Usual,User_Access_Tier,Access_Risk_Score
3.0,16.3,41.03,Standard,68.1
0.0,13.95,31.86,Admin,43.55
4.0,30.83,36.13,Standard,85.7
3.0,17.5,51.1,Standard,66.51
3.0,11.93,25.94,Standard,46.72
3.0,,65.41,Standard,76.25
1.0,20.6,54.09,Standard,57.62
0.0,10.44,22.38,Standard,17.21
0.0,8.76,8.72,Standard,18.49
1.0,10.37,73.19,Standard,53.22
2.0,11.33,56.76,Admin,84.85
0.0,24.7,,Standard,33.38
1.0,11.22,53.92,Standard,53.07
0.0,8.96,24.96,Elevated,32.1
2.0,30.59,16.72,Standard,63.92
1.0,14.51,9.49,Standard,25.19
2.0,10.13,24.06,Standard,42.87
2.0,15.79,94.8,Elevated,92.38
0.0,8.24,31.54,Elevated,31.97
0.0,30.09,30.84,Standard,36.64
0.0,15.29,27.92,Standard,20.95
1.0,15.25,29.49,Standard,34.6
0.0,19.83,46.52,Standard,43.13
2.0,27.92,4.01,Standard,45.62
2.0,13.94,61.63,Standard,60.69
4.0,14.05,10.39,Elevated,74.24
1.0,16.37,56.05,Standard,51.59
5.0,23.99,74.17,Elevated,119.39
2.0,28.66,,Standard,61.66
2.0,14.39,21.59,Elevated,46.13
4.0,,61.6,Standard,85.34
0.0,25.02,3.37,Standard,27.7
4.0,8.83,,Standard,45.21
2.0,4.87,12.42,Elevated,46.8
0.0,7.71,29.75,Standard,28.92
4.0,5.97,31.93,Standard,66.36
3.0,14.12,33.86,Standard,55.41
2.0,14.7,1.77,Standard,43.49
2.0,24.5,1.48,Standard,32.93
0.0,23.74,39.23,Standard,38.51
4.0,,47.18,Elevated,93.57
2.0,12.22,25.44,Elevated,57.95
1.0,19.51,31.71,Standard,43.98
3.0,10.11,49.25,Elevated,76.2
,19.19,42.82,Standard,36.01
1.0,13.57,42.85,Standard,34.2
2.0,26.83,30.06,Standard,49.87
2.0,21.8,29.89,Standard,57.82
0.0,12.56,45.01,Elevated,46.05
5.0,9.33,13.69,Elevated,75.53
1.0,5.6,42.95,Admin,54.29
1.0,17.48,47.55,Elevated,55.19
1.0,3.36,62.93,Standard,51.7
1.0,0.04,5.92,Admin,29.68
4.0,22.59,21.52,Standard,66.14
4.0,7.95,50.15,Standard,74.71
2.0,30.75,5.62,Standard,53.93
3.0,1.71,1.74,Admin,60.29
1.0,22.94,24.17,Standard,42.79
3.0,11.06,60.77,Admin,99.19
7.0,10.39,47.9,Standard,
1.0,10.9,0.87,Elevated,27.38
4.0,34.88,77.04,Standard,116.63
1.0,11.88,53.39,Elevated,58.47
4.0,10.74,18.84,Standard,62.44
3.0,3.92,44.91,Standard,56.5
2.0,14.05,20.01,Elevated,44.84
1.0,18.38,4.64,Standard,29.1
1.0,8.25,56.03,,50.87
1.0,22.6,16.76,Standard,36.49
1.0,24.99,28.91,Standard,40.34
1.0,20.6,54.09,Standard,57.62
0.0,18.47,12.78,Standard,19.87
3.0,,74.08,Elevated,86.23
1.0,4.44,16.83,Standard,25.96
3.0,19.02,42.64,Standard,57.06
3.0,14.41,24.94,Standard,50.18
2.0,17.97,51.84,Elevated,72.8
5.0,23.82,20.01,Standard,
3.0,,26.23,Elevated,75.42
2.0,9.27,1.29,Admin,48.81
1.0,12.54,13.42,Elevated,
3.0,23.98,33.9,Standard,64.46
1.0,0.37,8.41,Admin,50.2
,9.38,23.02,Admin,68.75
3.0,6.7,53.34,Standard,60.16
1.0,21.22,44.32,Standard,50.19
1.0,15.98,52.23,Standard,49.96
1.0,20.97,18.67,,34.61
3.0,1.44,13.08,Standard,44.65
2.0,26.99,27.21,Standard,51.45
3.0,21.99,14.82,Admin,82.28
1.0,18.81,30.9,Standard,35.87
1.0,29.04,66.15,Admin,80.15
1.0,10.47,,Standard,22.5
0.0,0.81,43.44,Standard,32.42
4.0,30.13,,Elevated,85.25
2.0,,30.82,Standard,56.24
,8.77,45.68,Standard,56.62
2.0,16.24,13.21,Standard,45.33
2.0,16.63,22.3,Standard,40.95
0.0,20.89,43.61,Standard,39.01
2.0,9.24,24.73,Standard,39.17
2.0,,45.08,Standard,46.24
2.0,25.59,87.22,Elevated,99.19
1.0,9.07,65.83,Standard,51.9
2.0,14.16,,Standard,44.91
3.0,21.49,43.24,Admin,
,12.06,5.26,Elevated,13.78
4.0,,6.03,Admin,73.37
4.0,22.5,9.03,,87.82
2.0,20.63,70.36,Elevated,85.22
0.0,7.3,31.1,Elevated,33.59
2.0,20.85,40.1,Standard,63.2
2.0,11.66,38.39,Elevated,54.21
1.0,1.43,28.5,Standard,24.34
2.0,16.7,52.8,Standard,59.62
3.0,18.29,59.03,Standard,83.35
2.0,1.84,5.35,Elevated,37.39
,20.23,24.31,Elevated,48.28
0.0,9.31,9.4,Standard,11.49
3.0,1.55,44.49,Standard,56.03
4.0,11.15,17.9,Standard,
4.0,13.26,19.5,Standard,65.04
2.0,6.16,31.25,Standard,41.7
0.0,10.77,11.52,,
2.0,,27.04,Standard,58.18
1.0,13.51,54.56,Standard,46.53
0.0,9.07,5.19,Standard,17.56
6.0,10.88,13.75,Standard,68.85
2.0,14.02,29.35,Standard,44.78
2.0,23.47,42.58,Elevated,80.88
2.0,16.78,46.69,Elevated,67.24
1.0,9.19,35.71,Elevated,51.28
3.0,37.95,30.18,Standard,
2.0,8.43,48.46,Standard,46.1
1.0,,14.69,Standard,36.7
0.0,14.66,38.42,Standard,29.62
2.0,34.73,32.76,Standard,55.47
2.0,27.09,9.21,Admin,66.37
2.0,9.05,55.85,Standard,
0.0,21.63,,Standard,
2.0,20.47,20.47,Standard,47.27
1.0,4.58,66.7,,41.7
1.0,16.49,56.42,Elevated,70.86
2.0,0.11,,Standard,21.36
2.0,33.67,44.06,Standard,69.96
,12.47,,Standard,87.54
2.0,15.04,,Standard,36.08
,8.49,7.62,Standard,33.89
,14.48,39.03,,29.69
2.0,,32.76,Standard,46.29
1.0,8.75,43.74,Standard,42.91
2.0,6.14,15.71,Standard,
3.0,8.97,4.36,Standard,40.61
0.0,9.59,,Standard,11.47
2.0,2.47,33.6,Standard,33.71
1.0,17.48,47.55,Elevated,55.19
4.0,27.62,,Standard,59.56
1.0,18.82,4.47,Standard,28.69
,13.55,16.62,Admin,43.55
1.0,22.87,7.37,Standard,31.75
0.0,13.4,19.13,Standard,21.36
1.0,14.44,36.26,Standard,47.01
2.0,7.67,23.63,Standard,34.49
0.0,9.95,13.94,Standard,10.65
3.0,5.92,48.03,Standard,66.04
2.0,25.59,87.22,Elevated,99.19
3.0,16.7,66.68,Elevated,85.21
4.0,24.59,1.67,Standard,62.67
3.0,10.96,33.02,Elevated,63.62
3.0,16.0,12.94,Standard,43.66
0.0,25.16,47.25,Elevated,53.02
1.0,17.69,68.02,Standard,54.52
2.0,15.8,35.94,Elevated,57.78
0.0,12.14,31.22,Standard,31.1
0.0,,32.17,Standard,26.4
1.0,33.33,11.88,Standard,43.82
5.0,5.99,16.96,Elevated,73.75
3.0,28.95,37.58,Standard,67.17
1.0,26.65,46.52,Standard,58.64
0.0,17.0,44.92,Elevated,
5.0,0.23,27.55,Standard,53.69
3.0,37.06,,,79.83
4.0,27.28,,Elevated,98.01
1.0,36.17,,Standard,61.52
2.0,8.9,86.67,Standard,73.75
2.0,7.06,19.29,,34.27
0.0,21.49,61.77,Standard,51.68
,23.73,71.06,Standard,53.69
2.0,11.3,58.13,Standard,60.62
,36.12,27.69,,65.12
0.0,8.31,,Admin,52.05
0.0,24.16,35.78,Standard,46.86
0.0,17.0,21.22,Elevated,41.02
3.0,15.57,23.15,,50.31
2.0,,12.85,Standard,36.43
4.0,10.08,87.83,Admin,109.13
0.0,21.05,2.57,Standard,19.74
,10.46,7.97,Standard,39.8
3.0,,12.62,Standard,39.33
2.0,3.42,11.27,Standard,28.74
,19.23,11.26,Standard,43.79
0.0,13.76,22.0,,
1.0,9.36,23.1,Elevated,38.94
2.0,10.71,33.95,Elevated,53.09
0.0,19.11,34.3,Standard,
2.0,9.96,45.29,Elevated,67.19
2.0,22.68,65.34,Standard,73.75
0.0,17.84,67.32,Elevated,58.39
3.0,1.79,49.33,Standard,54.78
1.0,20.53,33.83,Standard,41.68
6.0,3.04,7.36,Standard,63.25
3.0,11.27,53.81,Standard,
2.0,22.44,18.48,Standard,47.01
4.0,7.61,55.87,Standard,73.81
2.0,19.71,44.71,Standard,61.78
2.0,26.45,11.62,Standard,49.9
3.0,,18.99,Elevated,60.02
3.0,22.64,6.79,,61.5
2.0,4.93,2.08,Standard,24.0
1.0,31.74,26.33,Standard,46.83
3.0,32.49,30.57,Standard,64.81
1.0,14.71,13.65,Standard,30.42
0.0,18.2,49.36,Standard,39.55
0.0,16.44,38.58,Elevated,49.81
2.0,16.78,46.69,Elevated,67.24
0.0,14.65,56.37,Elevated,53.97
1.0,31.55,10.92,Admin,71.78
