,Age_of_Account_years,Number_of_Transactions_last_month,Average_Transaction_Value,Credit_Score,Account_Balance,Risk_Class
0,7,12,5577.48,383,3804.62,0
1,20,55,8607.71,751,11394.94,2
2,29,13,5355.35,684,36539.28,1
3,15,23,1852.78,471,29980.53,0
4,11,89,3002.96,675,3318.11,2
5,8,99,3106.27,661,43874.25,1
6,29,30,3979.21,440,43875.36,2
7,21,17,4273.62,417,16587.36,0
8,7,62,7999.82,576,17086.25,2
9,26,84,3500.38,519,49452.52,1
10,19,89,4687.64,325,31346.19,0
11,23,86,6253.51,820,26612.69,0
12,11,13,3783.48,309,41923.79,1
13,11,59,8367.28,677,14335.99,2
14,24,19,5878.66,451,21516.21,2
15,21,49,2947.51,348,13462.06,1
16,4,12,7143.45,453,39479.13,0
17,8,61,5281.2,592,28710.13,1
18,24,19,5349.21,349,32975.37,2
19,3,76,4816.07,830,12690.13,2
20,22,9,4975.15,359,11089.24,0
21,21,71,7655.91,466,24469.89,2
22,2,28,1038.78,501,36904.53,1
23,24,78,3350.28,445,26309.46,0
24,12,95,764.28,738,1729.02,2
25,6,52,7534.93,541,43440.72,0
26,2,83,2730.3,782,3327.88,2
27,28,16,8975.33,407,47795.64,0
28,21,69,5270.52,525,1354.58,2
29,1,99,8009.49,731,34753.08,0
30,12,12,9789.53,718,4202.13,0
31,26,25,8399.49,754,45542.76,0
32,22,52,8671.27,459,23275.22,2
33,29,85,4085.77,822,6962.44,2
34,12,53,5521.71,376,17106.7,2
35,25,23,2546.35,808,8324.75,0
36,17,16,1969.17,740,8612.04,0
37,27,57,5060.02,553,47410.61,0
38,27,39,5954.54,619,22317.78,2
39,10,53,3399.32,562,39461.23,1
40,28,42,5698.74,673,32016.32,1
41,28,58,8875.73,466,33853.68,1
42,16,39,5571.65,758,6671.5,0
43,15,14,7210.92,579,11785.8,1
44,15,95,8055.1,601,39358.84,1
45,19,5,9887.4,830,48541.23,0
46,12,35,6035.94,517,13207.51,2
47,23,87,8070.43,401,13651.28,2
48,20,93,9626.87,587,23697.57,2
49,25,75,9444.65,466,49193.63,0
50,3,18,1419.41,335,13521.05,2
51,5,76,4069.86,652,20407.9,2
52,19,9,3246.66,372,44584.85,2
53,7,74,878.38,652,245.76,2
54,21,58,6336.08,369,2084.32,2
55,9,17,7361.69,724,30243.18,0
56,7,7,8482.8,816,45378.27,0
57,18,46,1236.54,727,12018.95,0
58,4,13,8765.68,838,23535.12,0
59,25,40,6432.83,459,22578.22,1
60,28,42,7042.42,448,23701.27,1
61,14,9,9107.13,529,31163.73,1
62,18,50,6251.37,366,23540.21,0
63,26,27,3365.3,680,22428.66,2
64,9,66,8252.82,357,23766.99,2
65,26,5,3636.96,558,29584.29,2
66,21,29,351.94,641,26896.67,0
67,2,37,8308.24,429,42721.39,2
68,20,38,3458.47,471,2569.89,2
69,28,83,7740.61,508,41682.52,1
70,15,8,3633.95,653,42211.84,1
71,28,65,8612.07,770,14316.91,2
72,7,86,2202.91,415,23196.31,2
73,12,17,9745.73,563,21983.07,1
74,29,71,7799.79,741,11003.64,2
75,8,89,1151.24,847,19900.16,2
76,15,45,5662.11,752,2314.95,0
77,3,4,9853.82,776,13963.32,0
78,14,36,4715.94,586,40852.44,2
79,17,70,1829.25,602,14299.66,2
80,4,31,4852.94,610,40928.51,0
81,18,19,5129.45,507,26626.81,0
82,8,61,7419.45,745,44005.15,0
83,4,54,6991.47,354,28781.5,0
84,2,39,4031.47,311,1580.44,1
85,6,91,2188.05,699,33803.47,0
86,22,74,6454.09,814,2338.19,2
87,10,90,4222.82,841,22584.79,2
88,4,19,1331.44,536,46478.39,1
89,22,39,9006.72,578,8343.68,2
90,29,67,6915.31,647,19554.63,2
91,18,45,6835.01,403,36520.03,0
92,26,13,8227.61,816,44124.7,0
93,12,92,5301.32,547,33580.06,0
94,2,58,8152.39,663,12982.85,2
95,10,20,4985.93,620,33762.93,1
96,4,92,681.08,585,14906.71,2
97,14,72,4058.43,448,35949.62,0
98,16,61,4979.67,383,47706.25,1
99,15,39,7204.82,705,36097.53,0
100,8,1,1074.72,755,43157.74,0
101,14,3,1408.79,460,204.98,2
102,23,77,2644.2,759,35906.85,0
103,28,92,2672.32,849,41496.42,0
104,25,62,7324.52,799,2123.88,2
105,8,63,2514.8,808,43592.73,0
106,21,25,6334.65,780,12909.04,0
107,16,56,4947.8,413,33298.08,1
108,13,33,5737.21,660,40037.71,2
109,18,38,8382.69,640,33166.96,2
110,15,6,4049.77,748,4705.01,0
111,21,58,7711.4,479,29856.44,1
112,24,44,4226.14,706,27524.22,0
113,26,45,3545.18,495,45026.03,0
114,25,32,9586.69,765,20271.56,0
115,28,45,1851.87,610,16121.95,2
116,28,61,912.47,561,37517.55,1
117,28,47,7712.15,718,20692.5,0
118,13,21,691.81,705,32340.2,0
119,9,80,8372.42,442,32357.86,0
120,29,85,4377.56,641,44413.15,1
121,15,75,9155.98,615,29974.75,0
122,13,36,7218.11,400,25157.47,1
123,1,99,6107.94,543,7029.68,2
124,25,19,9493.57,789,5875.31,0
125,7,20,3972.53,311,7800.65,1
126,9,57,9541.33,538,8675.24,2
127,24,18,1358.66,341,31930.07,1
128,1,47,4842.71,728,37074.96,0
129,12,49,2706.41,457,26546.58,1
130,8,14,5403.03,515,41467.98,0
131,24,15,1628.52,761,49564.04,0
132,11,31,8416.88,433,41018.63,0
133,19,1,8465.61,366,34774.63,1
134,17,54,9552.81,306,26671.39,1
135,8,3,1555.17,825,22497.77,0
136,3,16,6237.09,372,4311.18,0
137,3,87,4747.63,698,20028.5,2
138,1,57,3450.39,704,45515.72,0
139,27,75,3521.89,429,40420.33,2
140,5,12,4133.81,765,10880.96,0
141,10,74,7052.21,505,23383.73,2
142,7,96,5986.88,565,40854.49,1
143,26,16,4602.22,836,3462.49,0
144,9,72,768.57,552,19430.89,2
145,28,76,786.88,588,42606.88,1
146,7,24,33.37,463,20254.5,0
147,9,28,9677.32,394,3972.97,0
148,8,8,62.49,409,27172.46,0
149,12,92,1039.91,635,43100.95,0
150,2,36,3152.82,537,29555.25,1
151,1,90,8076.23,680,11391.33,2
152,16,8,9621.37,735,19273.56,0
153,23,58,7902.24,782,22561.16,2
154,23,60,6908.7,324,29005.39,0
155,24,50,5217.79,416,37991.62,2
156,5,28,876.19,781,5033.79,0
157,3,92,9582.13,691,44493.64,1
158,12,41,7586.34,836,714.25,0
